,fips,stateabb,sedacountyname,subject,grade,year,variable,gcs_value,student_category,clean_student_category
617,6,CA,Contra Costa County,mth,5,2017,gcs_mn_all,4.831741481388385,all,All
619,6,CA,Contra Costa County,mth,5,2018,gcs_mn_all,4.75291615275592,all,All
621,6,CA,Contra Costa County,mth,6,2009,gcs_mn_all,5.380585144023672,all,All
623,6,CA,Contra Costa County,mth,6,2010,gcs_mn_all,5.470543012007377,all,All
625,6,CA,Contra Costa County,mth,6,2011,gcs_mn_all,5.613041063631036,all,All
627,6,CA,Contra Costa County,mth,6,2012,gcs_mn_all,5.709568548873305,all,All
629,6,CA,Contra Costa County,mth,6,2013,gcs_mn_all,5.607789630524007,all,All
631,6,CA,Contra Costa County,mth,6,2015,gcs_mn_all,6.095963076090307,all,All
633,6,CA,Contra Costa County,mth,6,2016,gcs_mn_all,6.049184897634986,all,All
635,6,CA,Contra Costa County,mth,6,2017,gcs_mn_all,6.003583575261915,all,All
637,6,CA,Contra Costa County,mth,6,2018,gcs_mn_all,5.846345543768948,all,All
644,6,CA,Contra Costa County,mth,7,2015,gcs_mn_all,7.023188225828396,all,All
646,6,CA,Contra Costa County,mth,7,2016,gcs_mn_all,7.099544257832329,all,All
648,6,CA,Contra Costa County,mth,7,2017,gcs_mn_all,7.037146954558753,all,All
650,6,CA,Contra Costa County,mth,7,2018,gcs_mn_all,6.96787313210344,all,All
657,6,CA,Contra Costa County,mth,8,2015,gcs_mn_all,7.939739064072841,all,All
659,6,CA,Contra Costa County,mth,8,2016,gcs_mn_all,8.030141590446476,all,All
661,6,CA,Contra Costa County,mth,8,2017,gcs_mn_all,8.213481094315801,all,All
663,6,CA,Contra Costa County,mth,8,2018,gcs_mn_all,7.953080894503766,all,All
665,6,CA,Del Norte County,mth,3,2009,gcs_mn_all,1.76956415682502,all,All
667,6,CA,Del Norte County,mth,3,2010,gcs_mn_all,1.608284932112786,all,All
669,6,CA,Del Norte County,mth,3,2011,gcs_mn_all,1.274889771630798,all,All
671,6,CA,Del Norte County,mth,3,2012,gcs_mn_all,1.326605320630744,all,All
673,6,CA,Del Norte County,mth,3,2013,gcs_mn_all,1.97106844774814,all,All
675,6,CA,Del Norte County,mth,3,2015,gcs_mn_all,1.016326418421426,all,All
677,6,CA,Del Norte County,mth,3,2016,gcs_mn_all,0.8828641689336282,all,All
679,6,CA,Del Norte County,mth,3,2017,gcs_mn_all,0.7964446347368578,all,All
681,6,CA,Del Norte County,mth,3,2018,gcs_mn_all,0.6820299516261809,all,All
683,6,CA,Del Norte County,mth,4,2009,gcs_mn_all,2.688918917655988,all,All
685,6,CA,Del Norte County,mth,4,2010,gcs_mn_all,2.4445824858967,all,All
687,6,CA,Del Norte County,mth,4,2011,gcs_mn_all,2.337753697799773,all,All
689,6,CA,Del Norte County,mth,4,2012,gcs_mn_all,2.293084525352933,all,All
691,6,CA,Del Norte County,mth,4,2013,gcs_mn_all,2.351118064212967,all,All
693,6,CA,Del Norte County,mth,4,2015,gcs_mn_all,2.040644498859078,all,All
695,6,CA,Del Norte County,mth,4,2016,gcs_mn_all,2.083034346152587,all,All
697,6,CA,Del Norte County,mth,4,2018,gcs_mn_all,2.414352282938311,all,All
699,6,CA,Del Norte County,mth,5,2009,gcs_mn_all,2.925909218894663,all,All
701,6,CA,Del Norte County,mth,5,2010,gcs_mn_all,3.518172994904866,all,All
703,6,CA,Del Norte County,mth,5,2011,gcs_mn_all,3.036277741444804,all,All
705,6,CA,Del Norte County,mth,5,2012,gcs_mn_all,2.701656482009719,all,All
707,6,CA,Del Norte County,mth,5,2013,gcs_mn_all,2.776771613473936,all,All
709,6,CA,Del Norte County,mth,5,2015,gcs_mn_all,3.396042170437443,all,All
711,6,CA,Del Norte County,mth,5,2017,gcs_mn_all,2.895545793620311,all,All
712,6,CA,Del Norte County,mth,5,2018,gcs_mn_all,3.401127976706657,all,All
714,6,CA,Del Norte County,mth,6,2009,gcs_mn_all,4.71334384471756,all,All
716,6,CA,Del Norte County,mth,6,2010,gcs_mn_all,4.009560784620047,all,All
718,6,CA,Del Norte County,mth,6,2011,gcs_mn_all,5.083995165099545,all,All
720,6,CA,Del Norte County,mth,6,2012,gcs_mn_all,4.576792128936811,all,All
722,6,CA,Del Norte County,mth,6,2013,gcs_mn_all,4.336756417353576,all,All
724,6,CA,Del Norte County,mth,6,2015,gcs_mn_all,4.462662158872334,all,All
731,6,CA,Del Norte County,mth,7,2015,gcs_mn_all,5.449957489786921,all,All
733,6,CA,Del Norte County,mth,7,2016,gcs_mn_all,5.256960873699213,all,All
